date,queue,volume,aht_seconds
2024-06-21,Customer Service,1360,356
2024-06-21,Escalations,173,712
2024-06-21,Technical Support,432,573
2024-06-22,Claims,646,439
2024-06-22,Billing,522,316
2024-06-22,Customer Service,967,359
2024-06-22,Escalations,124,773
2024-06-22,Technical Support,410,635
2024-06-23,Claims,470,476
2024-06-23,Billing,341,279
2024-06-23,Customer Service,598,363
2024-06-23,Escalations,79,698
2024-06-23,Technical Support,252,583
2024-06-24,Claims,1308,454
2024-06-24,Billing,838,314
2024-06-24,Customer Service,1643,359
2024-06-24,Escalations,202,669
2024-06-24,Technical Support,663,622
2024-06-25,Claims,1318,436
2024-06-25,Billing,802,303
2024-06-25,Customer Service,1487,345
2024-06-25,Escalations,210,692
2024-06-25,Technical Support,612,623
2024-06-26,Claims,1149,427
2024-06-26,Billing,801,329
2024-06-26,Customer Service,1372,318
2024-06-26,Escalations,185,679
2024-06-26,Technical Support,577,611
2024-06-27,Claims,1016,463
2024-06-27,Billing,759,298
2024-06-27,Customer Service,1461,349
2024-06-27,Escalations,184,714
2024-06-27,Technical Support,560,593
2024-06-28,Claims,903,481
2024-06-28,Billing,647,313
2024-06-28,Customer Service,1225,365
2024-06-28,Escalations,166,666
2024-06-28,Technical Support,425,598
2024-06-29,Claims,687,443
2024-06-29,Billing,494,285
2024-06-29,Customer Service,944,356
2024-06-29,Escalations,130,681
2024-06-29,Technical Support,359,620
2024-06-30,Claims,479,426
2024-06-30,Billing,325,326
2024-06-30,Customer Service,713,334
2024-06-30,Escalations,88,708
2024-06-30,Technical Support,296,624
2024-07-01,Claims,934,437
2024-07-01,Billing,745,313
2024-07-01,Customer Service,1378,328
2024-07-01,Escalations,190,751
2024-07-01,Technical Support,503,600
2024-07-02,Claims,938,437
2024-07-02,Billing,736,296
2024-07-02,Customer Service,1314,364
2024-07-02,Escalations,156,680
2024-07-02,Technical Support,493,578
2024-07-03,Claims,910,445
2024-07-03,Billing,588,282
2024-07-03,Customer Service,1195,382
2024-07-03,Escalations,140,680
2024-07-03,Technical Support,486,625
2024-07-04,Claims,701,455
2024-07-04,Billing,583,285
2024-07-04,Customer Service,1160,350
2024-07-04,Escalations,158,727
2024-07-04,Technical Support,420,594
2024-07-05,Claims,686,477
2024-07-05,Billing,632,315
2024-07-05,Customer Service,896,366
2024-07-05,Escalations,104,684
2024-07-05,Technical Support,394,568
2024-07-06,Claims,536,436
2024-07-06,Billing,392,303
2024-07-06,Customer Service,833,360
2024-07-06,Escalations,100,624
2024-07-06,Technical Support,282,600
2024-07-07,Claims,358,454
2024-07-07,Billing,326,296
2024-07-07,Customer Service,593,373
2024-07-07,Escalations,70,715
2024-07-07,Technical Support,242,639
2024-07-08,Claims,876,445
2024-07-08,Billing,643,314
2024-07-08,Customer Service,1277,379
2024-07-08,Escalations,168,746
2024-07-08,Technical Support,517,567
2024-07-09,Claims,900,444
2024-07-09,Billing,722,295
2024-07-09,Customer Service,1166,359
2024-07-09,Escalations,181,724
2024-07-09,Technical Support,483,575
2024-07-10,Claims,913,452
2024-07-10,Billing,659,270
2024-07-10,Customer Service,1227,375
2024-07-10,Escalations,155,682
2024-07-10,Technical Support,460,602
2024-07-11,Claims,839,443
2024-07-11,Billing,675,317
2024-07-11,Customer Service,1145,300
2024-07-11,Escalations,149,699
2024-07-11,Technical Support,420,597
2024-07-12,Claims,801,440
2024-07-12,Billing,520,326
2024-07-12,Customer Service,1161,334
2024-07-12,Escalations,126,727
2024-07-12,Technical Support,337,611
2024-07-13,Claims,565,478
2024-07-13,Billing,404,290
2024-07-13,Customer Service,842,337
2024-07-13,Escalations,94,738
2024-07-13,Technical Support,285,613
2024-07-14,Claims,339,415
2024-07-14,Billing,294,292
2024-07-14,Customer Service,454,357
2024-07-14,Escalations,62,729
2024-07-14,Technical Support,224,580
2024-07-15,Claims,1019,384
2024-07-15,Billing,758,308
2024-07-15,Customer Service,1249,329
2024-07-15,Escalations,169,629
2024-07-15,Technical Support,507,515
2024-07-16,Claims,834,468
2024-07-16,Billing,787,302
2024-07-16,Customer Service,1388,346
2024-07-16,Escalations,159,749
2024-07-16,Technical Support,487,619
2024-07-17,Claims,853,486
2024-07-17,Billing,537,279
2024-07-17,Customer Service,1161,349
2024-07-17,Escalations,140,643
2024-07-17,Technical Support,409,593
2024-07-18,Claims,781,444
2024-07-18,Billing,699,309
2024-07-18,Customer Service,1186,351
2024-07-18,Escalations,135,722
2024-07-18,Technical Support,442,621
2024-07-19,Claims,800,498
2024-07-19,Billing,591,295
2024-07-19,Customer Service,1020,334
2024-07-19,Escalations,120,709
2024-07-19,Technical Support,402,576
2024-07-20,Claims,577,483
2024-07-20,Billing,458,296
2024-07-20,Customer Service,830,340
2024-07-20,Escalations,107,684
2024-07-20,Technical Support,283,622
2024-07-21,Claims,442,446
2024-07-21,Billing,310,290
2024-07-21,Customer Service,658,379
2024-07-21,Escalations,67,670
2024-07-21,Technical Support,241,601
2024-07-22,Claims,974,465
2024-07-22,Billing,695,276
2024-07-22,Customer Service,1302,358
2024-07-22,Escalations,165,663
2024-07-22,Technical Support,525,625
2024-07-23,Claims,958,428
2024-07-23,Billing,671,310
2024-07-23,Customer Service,1295,369
2024-07-23,Escalations,190,730
2024-07-23,Technical Support,554,608
2024-07-24,Claims,869,445
2024-07-24,Billing,644,291
2024-07-24,Customer Service,1197,376
2024-07-24,Escalations,155,676
2024-07-24,Technical Support,408,569
2024-07-25,Claims,783,465
2024-07-25,Billing,530,288
2024-07-25,Customer Service,1165,333
2024-07-25,Escalations,148,649
2024-07-25,Technical Support,407,586
2024-07-26,Claims,810,448
2024-07-26,Billing,496,304
2024-07-26,Customer Service,897,367
2024-07-26,Escalations,129,718
2024-07-26,Technical Support,413,594
2024-07-27,Claims,635,446
2024-07-27,Billing,412,308
2024-07-27,Customer Service,859,372
2024-07-27,Escalations,98,704
2024-07-27,Technical Support,292,586
2024-07-28,Claims,428,428
2024-07-28,Billing,322,278
2024-07-28,Customer Service,493,362
2024-07-28,Escalations,79,720
2024-07-28,Technical Support,235,617
2024-07-29,Claims,912,447
2024-07-29,Billing,757,321
2024-07-29,Customer Service,1409,342
2024-07-29,Escalations,173,733
2024-07-29,Technical Support,486,599
2024-07-30,Claims,871,436
2024-07-30,Billing,702,309
2024-07-30,Customer Service,1421,357
2024-07-30,Escalations,169,712
2024-07-30,Technical Support,473,602
2024-07-31,Claims,892,449
2024-07-31,Billing,496,336
2024-07-31,Customer Service,1295,371
2024-07-31,Escalations,128,725
2024-07-31,Technical Support,432,603
2024-08-01,Claims,713,473
2024-08-01,Billing,537,308
2024-08-01,Customer Service,1208,350
2024-08-01,Escalations,133,689
2024-08-01,Technical Support,426,598
2024-08-02,Claims,702,379
2024-08-02,Billing,559,303
2024-08-02,Customer Service,1001,341
2024-08-02,Escalations,112,756
2024-08-02,Technical Support,403,601
2024-08-03,Claims,526,423
2024-08-03,Billing,367,299
2024-08-03,Customer Service,747,332
2024-08-03,Escalations,108,717
2024-08-03,Technical Support,310,609
2024-08-04,Claims,381,472
2024-08-04,Billing,291,288
2024-08-04,Customer Service,539,351
2024-08-04,Escalations,81,652
2024-08-04,Technical Support,214,621
2024-08-05,Claims,972,462
2024-08-05,Billing,778,307
2024-08-05,Customer Service,1352,350
2024-08-05,Escalations,162,715
2024-08-05,Technical Support,490,648
2024-08-06,Claims,896,444
2024-08-06,Billing,687,302
2024-08-06,Customer Service,1346,331
2024-08-06,Escalations,160,670
2024-08-06,Technical Support,505,603
2024-08-07,Claims,817,475
2024-08-07,Billing,633,296
2024-08-07,Customer Service,976,346
2024-08-07,Escalations,156,686
2024-08-07,Technical Support,448,584
2024-08-08,Claims,846,457
2024-08-08,Billing,460,278
2024-08-08,Customer Service,1291,372
2024-08-08,Escalations,137,677
2024-08-08,Technical Support,452,622
2024-08-09,Claims,646,421
2024-08-09,Billing,566,310
2024-08-09,Customer Service,912,362
2024-08-09,Escalations,118,713
2024-08-09,Technical Support,430,570
2024-08-10,Claims,540,456
2024-08-10,Billing,427,282
2024-08-10,Customer Service,828,346
2024-08-10,Escalations,101,736
2024-08-10,Technical Support,294,624
2024-08-11,Claims,403,450
2024-08-11,Billing,357,285
2024-08-11,Customer Service,551,361
2024-08-11,Escalations,70,701
2024-08-11,Technical Support,225,530
2024-08-12,Claims,1024,468
2024-08-12,Billing,788,300
2024-08-12,Customer Service,1396,371
2024-08-12,Escalations,151,662
2024-08-12,Technical Support,563,505
2024-08-13,Claims,819,456
2024-08-13,Billing,706,304
2024-08-13,Customer Service,1196,320
2024-08-13,Escalations,158,666
2024-08-13,Technical Support,490,683
2024-08-14,Claims,844,443
2024-08-14,Billing,651,311
2024-08-14,Customer Service,1312,339
2024-08-14,Escalations,151,627
2024-08-14,Technical Support,427,595
2024-08-15,Claims,844,444
2024-08-15,Billing,657,294
2024-08-15,Customer Service,998,348
2024-08-15,Escalations,145,709
2024-08-15,Technical Support,438,595
2024-08-16,Claims,689,422
2024-08-16,Billing,599,307
2024-08-16,Customer Service,984,316
2024-08-16,Escalations,126,628
2024-08-16,Technical Support,368,622
2024-08-17,Claims,550,461
2024-08-17,Billing,383,299
2024-08-17,Customer Service,686,326
2024-08-17,Escalations,109,675
2024-08-17,Technical Support,271,592
2024-08-18,Claims,361,414
2024-08-18,Billing,248,289
2024-08-18,Customer Service,525,361
2024-08-18,Escalations,62,750
2024-08-18,Technical Support,235,587
2024-08-19,Claims,1017,467
2024-08-19,Billing,680,271
2024-08-19,Customer Service,1568,362
2024-08-19,Escalations,179,672
2024-08-19,Technical Support,485,609
2024-08-20,Claims,722,444
2024-08-20,Billing,816,320
2024-08-20,Customer Service,1132,335
2024-08-20,Escalations,138,722
2024-08-20,Technical Support,517,592
2024-08-21,Claims,985,446
2024-08-21,Billing,700,297
2024-08-21,Customer Service,1215,335
2024-08-21,Escalations,152,700
2024-08-21,Technical Support,466,598
2024-08-22,Claims,832,455
2024-08-22,Billing,613,301
2024-08-22,Customer Service,1117,364
2024-08-22,Escalations,138,732
2024-08-22,Technical Support,390,568
2024-08-23,Claims,690,470
2024-08-23,Billing,467,282
2024-08-23,Customer Service,989,360
2024-08-23,Escalations,115,722
2024-08-23,Technical Support,341,543
2024-08-24,Claims,557,452
2024-08-24,Billing,467,293
2024-08-24,Customer Service,832,337
2024-08-24,Escalations,85,747
2024-08-24,Technical Support,268,580
2024-08-25,Claims,422,432
2024-08-25,Billing,277,301
2024-08-25,Customer Service,544,362
2024-08-25,Escalations,72,695
2024-08-25,Technical Support,192,635
2024-08-26,Claims,950,462
2024-08-26,Billing,643,267
2024-08-26,Customer Service,1266,341
2024-08-26,Escalations,170,680
2024-08-26,Technical Support,435,614
2024-08-27,Claims,935,391
2024-08-27,Billing,689,338
2024-08-27,Customer Service,1331,359
2024-08-27,Escalations,162,705
2024-08-27,Technical Support,530,635
2024-08-28,Claims,833,503
2024-08-28,Billing,609,313
2024-08-28,Customer Service,1175,367
2024-08-28,Escalations,152,705
2024-08-28,Technical Support,438,596
2024-08-29,Claims,788,439
2024-08-29,Billing,567,288
2024-08-29,Customer Service,1050,338
2024-08-29,Escalations,123,653
2024-08-29,Technical Support,474,598
2024-08-30,Claims,636,412
2024-08-30,Billing,510,303
2024-08-30,Customer Service,940,349
2024-08-30,Escalations,134,705
2024-08-30,Technical Support,365,584
2024-08-31,Claims,605,519
2024-08-31,Billing,398,320
2024-08-31,Customer Service,793,328
2024-08-31,Escalations,91,708
2024-08-31,Technical Support,341,582
2024-09-01,Claims,426,427
2024-09-01,Billing,369,280
2024-09-01,Customer Service,699,358
2024-09-01,Escalations,86,676
2024-09-01,Technical Support,246,629
2024-09-02,Claims,1119,472
2024-09-02,Billing,868,321
2024-09-02,Customer Service,1578,335
2024-09-02,Escalations,215,717
2024-09-02,Technical Support,705,619
2024-09-03,Claims,1036,439
2024-09-03,Billing,738,288
2024-09-03,Customer Service,1520,378
2024-09-03,Escalations,231,708
2024-09-03,Technical Support,537,619
2024-09-04,Claims,1120,432
2024-09-04,Billing,859,282
2024-09-04,Customer Service,1336,340
2024-09-04,Escalations,183,696
2024-09-04,Technical Support,592,568
2024-09-05,Claims,914,450
2024-09-05,Billing,709,275
2024-09-05,Customer Service,1269,330
2024-09-05,Escalations,153,723
2024-09-05,Technical Support,473,618
2024-09-06,Claims,766,441
2024-09-06,Billing,651,285
2024-09-06,Customer Service,1124,332
2024-09-06,Escalations,153,687
2024-09-06,Technical Support,393,619
2024-09-07,Claims,678,471
2024-09-07,Billing,539,293
2024-09-07,Customer Service,783,330
2024-09-07,Escalations,120,709
2024-09-07,Technical Support,384,575
2024-09-08,Claims,426,438
2024-09-08,Billing,409,320
2024-09-08,Customer Service,688,364
2024-09-08,Escalations,79,706
2024-09-08,Technical Support,249,562
2024-09-09,Claims,1183,455
2024-09-09,Billing,871,316
2024-09-09,Customer Service,1667,343
2024-09-09,Escalations,185,747
2024-09-09,Technical Support,607,639
2024-09-10,Claims,962,487
2024-09-10,Billing,822,305
2024-09-10,Customer Service,1421,360
2024-09-10,Escalations,180,749
2024-09-10,Technical Support,631,613
2024-09-11,Claims,1077,439
2024-09-11,Billing,795,293
2024-09-11,Customer Service,1276,354
2024-09-11,Escalations,170,655
2024-09-11,Technical Support,575,596
2024-09-12,Claims,954,475
2024-09-12,Billing,855,267
2024-09-12,Customer Service,1374,377
2024-09-12,Escalations,169,739
2024-09-12,Technical Support,487,586
2024-09-13,Claims,858,462
2024-09-13,Billing,642,300
2024-09-13,Customer Service,1267,372
2024-09-13,Escalations,161,734
2024-09-13,Technical Support,421,558
2024-09-14,Claims,590,463
2024-09-14,Billing,431,297
2024-09-14,Customer Service,971,351
2024-09-14,Escalations,106,675
2024-09-14,Technical Support,290,652
2024-09-15,Claims,487,473
2024-09-15,Billing,433,289
2024-09-15,Customer Service,666,327
2024-09-15,Escalations,89,687
2024-09-15,Technical Support,251,613
2024-09-16,Claims,1124,455
2024-09-16,Billing,930,319
2024-09-16,Customer Service,1562,364
2024-09-16,Escalations,204,734
2024-09-16,Technical Support,615,610
2024-09-17,Claims,1028,419
2024-09-17,Billing,896,297
2024-09-17,Customer Service,1511,369
2024-09-17,Escalations,180,698
2024-09-17,Technical Support,599,615
2024-09-18,Claims,920,443
2024-09-18,Billing,760,285
2024-09-18,Customer Service,1399,348
2024-09-18,Escalations,190,711
2024-09-18,Technical Support,545,580
2024-09-19,Claims,942,445
2024-09-19,Billing,769,286
2024-09-19,Customer Service,1481,370
2024-09-19,Escalations,174,690
2024-09-19,Technical Support,500,644
2024-09-20,Claims,761,484
2024-09-20,Billing,595,299
2024-09-20,Customer Service,1171,332
2024-09-20,Escalations,143,627
2024-09-20,Technical Support,443,556
2024-09-21,Claims,664,419
2024-09-21,Billing,527,321
2024-09-21,Customer Service,928,352
2024-09-21,Escalations,121,714
2024-09-21,Technical Support,352,533
2024-09-22,Claims,398,423
2024-09-22,Billing,334,313
2024-09-22,Customer Service,659,355
2024-09-22,Escalations,75,695
2024-09-22,Technical Support,262,617
2024-09-23,Claims,1272,487
2024-09-23,Billing,951,297
2024-09-23,Customer Service,1573,351
2024-09-23,Escalations,224,707
2024-09-23,Technical Support,607,672
2024-09-24,Claims,1057,403
2024-09-24,Billing,790,310
2024-09-24,Customer Service,1497,348
2024-09-24,Escalations,186,720
2024-09-24,Technical Support,583,580
2024-09-25,Claims,1005,449
2024-09-25,Billing,759,311
2024-09-25,Customer Service,1450,404
2024-09-25,Escalations,192,728
2024-09-25,Technical Support,565,575
2024-09-26,Claims,833,440
2024-09-26,Billing,575,293
2024-09-26,Customer Service,1434,319
2024-09-26,Escalations,149,688
2024-09-26,Technical Support,491,622
2024-09-27,Claims,771,421
2024-09-27,Billing,557,316
2024-09-27,Customer Service,1253,359
2024-09-27,Escalations,159,674
2024-09-27,Technical Support,430,596
2024-09-28,Claims,525,486
2024-09-28,Billing,484,311
2024-09-28,Customer Service,963,350
2024-09-28,Escalations,103,692
2024-09-28,Technical Support,355,602
2024-09-29,Claims,472,438
2024-09-29,Billing,378,268
2024-09-29,Customer Service,674,386
2024-09-29,Escalations,77,705
2024-09-29,Technical Support,274,612
2024-09-30,Claims,1120,449
2024-09-30,Billing,866,289
2024-09-30,Customer Service,1482,347
2024-09-30,Escalations,193,644
2024-09-30,Technical Support,558,668
2024-10-01,Claims,1112,422
2024-10-01,Billing,980,285
2024-10-01,Customer Service,1417,342
2024-10-01,Escalations,173,745
2024-10-01,Technical Support,667,600
2024-10-02,Claims,1012,422
2024-10-02,Billing,745,319
2024-10-02,Customer Service,1575,363
2024-10-02,Escalations,173,719
2024-10-02,Technical Support,625,621
2024-10-03,Claims,1034,504
2024-10-03,Billing,721,333
2024-10-03,Customer Service,1624,338
2024-10-03,Escalations,165,757
2024-10-03,Technical Support,550,611
2024-10-04,Claims,904,461
2024-10-04,Billing,745,275
2024-10-04,Customer Service,1402,347
2024-10-04,Escalations,156,672
2024-10-04,Technical Support,439,625
2024-10-05,Claims,712,474
2024-10-05,Billing,497,269
2024-10-05,Customer Service,1126,350
2024-10-05,Escalations,123,739
2024-10-05,Technical Support,353,594
2024-10-06,Claims,498,466
2024-10-06,Billing,335,305
2024-10-06,Customer Service,639,356
2024-10-06,Escalations,95,691
2024-10-06,Technical Support,246,564
2024-10-07,Claims,1079,425
2024-10-07,Billing,939,311
2024-10-07,Customer Service,1820,350
2024-10-07,Escalations,220,695
2024-10-07,Technical Support,673,587
2024-10-08,Claims,1060,443
2024-10-08,Billing,765,316
2024-10-08,Customer Service,1784,344
2024-10-08,Escalations,194,653
2024-10-08,Technical Support,585,622
2024-10-09,Claims,1140,445
2024-10-09,Billing,823,300
2024-10-09,Customer Service,1508,378
2024-10-09,Escalations,213,699
2024-10-09,Technical Support,517,609
2024-10-10,Claims,1054,423
2024-10-10,Billing,754,297
2024-10-10,Customer Service,1415,361
2024-10-10,Escalations,194,646
2024-10-10,Technical Support,541,606
2024-10-11,Claims,921,452
2024-10-11,Billing,734,301
2024-10-11,Customer Service,1211,368
2024-10-11,Escalations,145,712
2024-10-11,Technical Support,429,644
2024-10-12,Claims,579,428
2024-10-12,Billing,612,302
2024-10-12,Customer Service,885,351
2024-10-12,Escalations,119,663
2024-10-12,Technical Support,356,629
2024-10-13,Claims,503,502
2024-10-13,Billing,400,300
2024-10-13,Customer Service,741,359
2024-10-13,Escalations,83,703
2024-10-13,Technical Support,256,579
2024-10-14,Claims,1205,409
2024-10-14,Billing,883,289
2024-10-14,Customer Service,1877,326
2024-10-14,Escalations,216,760
2024-10-14,Technical Support,660,597
2024-10-15,Claims,1189,442
2024-10-15,Billing,945,313
2024-10-15,Customer Service,1617,330
2024-10-15,Escalations,179,673
2024-10-15,Technical Support,617,602
2024-10-16,Claims,977,473
2024-10-16,Billing,755,308
2024-10-16,Customer Service,1524,354
2024-10-16,Escalations,200,703
2024-10-16,Technical Support,547,612
2024-10-17,Claims,1006,455
2024-10-17,Billing,853,285
2024-10-17,Customer Service,1413,351
2024-10-17,Escalations,209,662
2024-10-17,Technical Support,544,602
2024-10-18,Claims,760,439
2024-10-18,Billing,717,338
2024-10-18,Customer Service,1286,349
2024-10-18,Escalations,172,651
2024-10-18,Technical Support,493,596
2024-10-19,Claims,680,462
2024-10-19,Billing,474,325
2024-10-19,Customer Service,955,340
2024-10-19,Escalations,113,645
2024-10-19,Technical Support,347,625
2024-10-20,Claims,514,419
2024-10-20,Billing,426,293
2024-10-20,Customer Service,715,345
2024-10-20,Escalations,78,698
2024-10-20,Technical Support,269,621
2024-10-21,Claims,1292,435
2024-10-21,Billing,858,296
2024-10-21,Customer Service,1647,350
2024-10-21,Escalations,208,705
2024-10-21,Technical Support,585,603
2024-10-22,Claims,1189,460
2024-10-22,Billing,856,313
2024-10-22,Customer Service,1649,357
2024-10-22,Escalations,185,716
2024-10-22,Technical Support,577,553
2024-10-23,Claims,1092,451
2024-10-23,Billing,766,307
2024-10-23,Customer Service,1658,363
2024-10-23,Escalations,176,676
2024-10-23,Technical Support,556,580
2024-10-24,Claims,1056,437
2024-10-24,Billing,666,308
2024-10-24,Customer Service,1192,368
2024-10-24,Escalations,152,686
2024-10-24,Technical Support,573,627
2024-10-25,Claims,846,453
2024-10-25,Billing,815,298
2024-10-25,Customer Service,1193,346
2024-10-25,Escalations,158,726
2024-10-25,Technical Support,526,610
2024-10-26,Claims,799,501
2024-10-26,Billing,613,287
2024-10-26,Customer Service,1066,359
2024-10-26,Escalations,131,681
2024-10-26,Technical Support,382,574
2024-10-27,Claims,522,450
2024-10-27,Billing,359,302
2024-10-27,Customer Service,649,401
2024-10-27,Escalations,87,694
2024-10-27,Technical Support,257,566
2024-10-28,Claims,1137,456
2024-10-28,Billing,953,269
2024-10-28,Customer Service,1793,348
2024-10-28,Escalations,210,701
2024-10-28,Technical Support,699,624
2024-10-29,Claims,1028,472
2024-10-29,Billing,851,292
2024-10-29,Customer Service,1505,347
2024-10-29,Escalations,170,673
2024-10-29,Technical Support,595,566
2024-10-30,Claims,1023,457
2024-10-30,Billing,885,281
2024-10-30,Customer Service,1532,343
2024-10-30,Escalations,167,665
2024-10-30,Technical Support,628,616
2024-10-31,Claims,1080,491
2024-10-31,Billing,787,280
2024-10-31,Customer Service,1364,318
2024-10-31,Escalations,160,696
2024-10-31,Technical Support,505,600
2024-11-01,Claims,988,455
2024-11-01,Billing,800,293
2024-11-01,Customer Service,1442,346
2024-11-01,Escalations,154,713
2024-11-01,Technical Support,438,631
2024-11-02,Claims,715,406
2024-11-02,Billing,464,294
2024-11-02,Customer Service,1024,354
2024-11-02,Escalations,123,668
2024-11-02,Technical Support,360,652
2024-11-03,Claims,441,436
2024-11-03,Billing,402,299
2024-11-03,Customer Service,683,360
2024-11-03,Escalations,81,679
2024-11-03,Technical Support,206,545
2024-11-04,Claims,1210,440
2024-11-04,Billing,1059,315
2024-11-04,Customer Service,1939,344
2024-11-04,Escalations,206,670
2024-11-04,Technical Support,611,628
2024-11-05,Claims,1206,443
2024-11-05,Billing,818,292
2024-11-05,Customer Service,1680,353
2024-11-05,Escalations,218,727
2024-11-05,Technical Support,676,671
2024-11-06,Claims,1053,469
2024-11-06,Billing,798,317
2024-11-06,Customer Service,1393,341
2024-11-06,Escalations,175,664
2024-11-06,Technical Support,552,602
2024-11-07,Claims,1040,452
2024-11-07,Billing,829,284
2024-11-07,Customer Service,1335,347
2024-11-07,Escalations,200,714
2024-11-07,Technical Support,524,611
2024-11-08,Claims,908,461
2024-11-08,Billing,654,304
2024-11-08,Customer Service,1035,341
2024-11-08,Escalations,172,682
2024-11-08,Technical Support,510,564
2024-11-09,Claims,692,490
2024-11-09,Billing,544,300
2024-11-09,Customer Service,1040,346
2024-11-09,Escalations,109,667
2024-11-09,Technical Support,359,688
2024-11-10,Claims,538,426
2024-11-10,Billing,348,294
2024-11-10,Customer Service,730,357
2024-11-10,Escalations,80,721
2024-11-10,Technical Support,278,629
2024-11-11,Claims,1210,491
2024-11-11,Billing,808,308
2024-11-11,Customer Service,1873,332
2024-11-11,Escalations,202,691
2024-11-11,Technical Support,601,609
2024-11-12,Claims,1182,497
2024-11-12,Billing,971,279
2024-11-12,Customer Service,1508,371
2024-11-12,Escalations,206,706
2024-11-12,Technical Support,637,625
2024-11-13,Claims,1121,448
2024-11-13,Billing,824,287
2024-11-13,Customer Service,1455,363
2024-11-13,Escalations,175,723
2024-11-13,Technical Support,566,629
2024-11-14,Claims,925,450
2024-11-14,Billing,593,291
2024-11-14,Customer Service,1478,323
2024-11-14,Escalations,191,729
2024-11-14,Technical Support,434,613
2024-11-15,Claims,837,428
2024-11-15,Billing,731,292
2024-11-15,Customer Service,1497,342
2024-11-15,Escalations,161,648
2024-11-15,Technical Support,454,575
2024-11-16,Claims,698,424
2024-11-16,Billing,601,294
2024-11-16,Customer Service,948,337
2024-11-16,Escalations,117,643
2024-11-16,Technical Support,360,661
2024-11-17,Claims,467,478
2024-11-17,Billing,391,288
2024-11-17,Customer Service,807,355
2024-11-17,Escalations,92,715
2024-11-17,Technical Support,262,636
2024-11-18,Claims,1186,432
2024-11-18,Billing,812,316
2024-11-18,Customer Service,1835,340
2024-11-18,Escalations,213,653
2024-11-18,Technical Support,634,622
2024-11-19,Claims,1461,479
2024-11-19,Billing,911,339
2024-11-19,Customer Service,1544,329
2024-11-19,Escalations,198,724
2024-11-19,Technical Support,673,588
2024-11-20,Claims,1072,468
2024-11-20,Billing,719,278
2024-11-20,Customer Service,1611,328
2024-11-20,Escalations,178,673
2024-11-20,Technical Support,647,602
2024-11-21,Claims,1100,436
2024-11-21,Billing,746,310
2024-11-21,Customer Service,1576,368
2024-11-21,Escalations,180,721
2024-11-21,Technical Support,572,649
2024-11-22,Claims,946,459
2024-11-22,Billing,650,282
2024-11-22,Customer Service,1220,374
2024-11-22,Escalations,174,679
2024-11-22,Technical Support,469,627
2024-11-23,Claims,686,485
2024-11-23,Billing,501,307
2024-11-23,Customer Service,1034,324
2024-11-23,Escalations,146,668
2024-11-23,Technical Support,343,640
2024-11-24,Claims,507,446
2024-11-24,Billing,431,301
2024-11-24,Customer Service,710,363
2024-11-24,Escalations,93,724
2024-11-24,Technical Support,245,608
2024-11-25,Claims,1257,445
2024-11-25,Billing,915,295
2024-11-25,Customer Service,1851,365
2024-11-25,Escalations,235,719
2024-11-25,Technical Support,777,592
2024-11-26,Claims,1219,474
2024-11-26,Billing,914,298
2024-11-26,Customer Service,1670,335
2024-11-26,Escalations,200,673
2024-11-26,Technical Support,633,571
2024-11-27,Claims,1038,444
2024-11-27,Billing,824,319
2024-11-27,Customer Service,1660,336
2024-11-27,Escalations,173,707
2024-11-27,Technical Support,614,580
2024-11-28,Claims,1120,444
2024-11-28,Billing,767,277
2024-11-28,Customer Service,1187,346
2024-11-28,Escalations,170,693
2024-11-28,Technical Support,592,616
2024-11-29,Claims,910,455
2024-11-29,Billing,642,282
2024-11-29,Customer Service,1235,369
2024-11-29,Escalations,172,707
2024-11-29,Technical Support,504,606
2024-11-30,Claims,696,450
2024-11-30,Billing,526,292
2024-11-30,Customer Service,970,354
2024-11-30,Escalations,116,717
2024-11-30,Technical Support,424,548
2024-12-01,Claims,537,438
2024-12-01,Billing,462,296
2024-12-01,Customer Service,872,354
2024-12-01,Escalations,105,742
2024-12-01,Technical Support,281,577
2024-12-02,Claims,1365,439
2024-12-02,Billing,1009,292
2024-12-02,Customer Service,1731,336
2024-12-02,Escalations,239,688
2024-12-02,Technical Support,634,623
2024-12-03,Claims,1387,426
2024-12-03,Billing,933,306
2024-12-03,Customer Service,1817,320
2024-12-03,Escalations,229,680
2024-12-03,Technical Support,657,590
2024-12-04,Claims,1211,488
2024-12-04,Billing,851,296
2024-12-04,Customer Service,1747,311
2024-12-04,Escalations,182,630
2024-12-04,Technical Support,619,601
2024-12-05,Claims,1273,464
2024-12-05,Billing,775,306
2024-12-05,Customer Service,1471,353
2024-12-05,Escalations,202,741
2024-12-05,Technical Support,592,584
2024-12-06,Claims,1020,470
2024-12-06,Billing,788,276
2024-12-06,Customer Service,1471,334
2024-12-06,Escalations,191,637
2024-12-06,Technical Support,542,592
2024-12-07,Claims,757,449
2024-12-07,Billing,622,302
2024-12-07,Customer Service,1255,351
2024-12-07,Escalations,135,668
2024-12-07,Technical Support,377,594
2024-12-08,Claims,600,416
2024-12-08,Billing,417,320
2024-12-08,Customer Service,643,345
2024-12-08,Escalations,104,683
2024-12-08,Technical Support,279,648
2024-12-09,Claims,1313,422
2024-12-09,Billing,1038,283
2024-12-09,Customer Service,1896,331
2024-12-09,Escalations,247,698
2024-12-09,Technical Support,676,613
2024-12-10,Claims,1320,467
2024-12-10,Billing,949,339
2024-12-10,Customer Service,1896,311
2024-12-10,Escalations,235,721
