date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht
2025-05-31,May,5,Saturday,2811,330.64,479.8
2025-06-01,June,6,Sunday,1835,214.63,483.8
2025-06-02,June,0,Monday,4724,563.45,480.2
2025-06-03,June,1,Tuesday,4188,498.17,485.4
2025-06-04,June,2,Wednesday,3793,414.36,460.4
2025-06-05,June,3,Thursday,3606,433.68,486.8
2025-06-06,June,4,Friday,3441,411.85,494.0
2025-06-07,June,5,Saturday,2746,317.69,470.2
2025-06-08,June,6,Sunday,1994,231.24,474.6
2025-06-09,June,0,Monday,4689,542.77,488.0
2025-06-10,June,1,Tuesday,4587,531.4,484.8
2025-06-11,June,2,Wednesday,4244,490.76,481.0
2025-06-12,June,3,Thursday,3820,433.41,470.2
2025-06-13,June,4,Friday,3272,376.06,474.2
2025-06-14,June,5,Saturday,2733,318.42,484.8
2025-06-15,June,6,Sunday,1982,229.66,489.2
2025-06-16,June,0,Monday,4521,531.73,494.6
2025-06-17,June,1,Tuesday,4234,496.4,490.4
2025-06-18,June,2,Wednesday,3992,452.77,484.6
2025-06-19,June,3,Thursday,3523,406.6,477.8
2025-06-20,June,4,Friday,3479,404.58,481.6
2025-06-21,June,5,Saturday,2633,302.17,473.8
2025-06-22,June,6,Sunday,1878,218.38,471.0
2025-06-23,June,0,Monday,4728,550.83,477.4
2025-06-24,June,1,Tuesday,4820,532.81,457.2
2025-06-25,June,2,Wednesday,4199,503.47,498.8
2025-06-26,June,3,Thursday,3925,438.08,470.8
2025-06-27,June,4,Friday,3433,399.0,490.2
2025-06-28,June,5,Saturday,2769,335.23,493.0
2025-06-29,June,6,Sunday,2013,232.0,484.8
2025-06-30,June,0,Monday,5017,583.94,491.2
2025-07-01,July,1,Tuesday,3732,406.99,455.6
2025-07-02,July,2,Wednesday,3350,376.52,477.2
2025-07-03,July,3,Thursday,3101,360.0,484.6
2025-07-04,July,4,Friday,3030,357.57,484.8
2025-07-05,July,5,Saturday,2196,250.12,480.0
2025-07-06,July,6,Sunday,1653,191.99,480.4
2025-07-07,July,0,Monday,3963,453.49,474.6
2025-07-08,July,1,Tuesday,3584,423.15,491.6
2025-07-09,July,2,Wednesday,3341,367.0,455.6
2025-07-10,July,3,Thursday,3103,356.34,480.4
2025-07-11,July,4,Friday,2735,307.36,477.4
2025-07-12,July,5,Saturday,2227,250.4,458.4
2025-07-13,July,6,Sunday,1517,171.0,464.6
2025-07-14,July,0,Monday,4067,457.94,471.2
2025-07-15,July,1,Tuesday,3466,390.1,470.8
2025-07-16,July,2,Wednesday,3577,411.03,479.2
2025-07-17,July,3,Thursday,3273,364.97,452.0
2025-07-18,July,4,Friday,2903,334.38,482.8
2025-07-19,July,5,Saturday,2375,270.5,475.8
2025-07-20,July,6,Sunday,1600,186.89,496.4
2025-07-21,July,0,Monday,4169,477.93,479.4
2025-07-22,July,1,Tuesday,3795,450.05,486.4
2025-07-23,July,2,Wednesday,3169,373.81,480.4
2025-07-24,July,3,Thursday,3173,378.07,484.4
2025-07-25,July,4,Friday,2838,335.45,485.6
2025-07-26,July,5,Saturday,2194,254.33,465.4
2025-07-27,July,6,Sunday,1564,184.37,489.4
2025-07-28,July,0,Monday,3605,415.4,475.4
2025-07-29,July,1,Tuesday,3510,421.18,494.0
2025-07-30,July,2,Wednesday,2964,342.44,473.4
2025-07-31,July,3,Thursday,3307,363.9,466.2
2025-08-01,August,4,Friday,2835,323.87,477.0
2025-08-02,August,5,Saturday,2432,285.2,478.0
2025-08-03,August,6,Sunday,1517,176.69,490.2
2025-08-04,August,0,Monday,3746,441.77,492.2
2025-08-05,August,1,Tuesday,3574,428.97,496.4
2025-08-06,August,2,Wednesday,3547,421.63,480.8
2025-08-07,August,3,Thursday,3134,352.96,470.8
2025-08-08,August,4,Friday,2918,341.26,477.4
2025-08-09,August,5,Saturday,2207,260.12,479.0
2025-08-10,August,6,Sunday,1586,181.66,465.2
2025-08-11,August,0,Monday,3925,461.83,480.2
2025-08-12,August,1,Tuesday,3171,365.92,480.2
2025-08-13,August,2,Wednesday,3472,387.63,466.2
2025-08-14,August,3,Thursday,3275,383.21,501.6
2025-08-15,August,4,Friday,2753,331.52,480.0
2025-08-16,August,5,Saturday,2168,241.36,466.8
2025-08-17,August,6,Sunday,1481,173.38,475.4
2025-08-18,August,0,Monday,3802,424.42,463.0
2025-08-19,August,1,Tuesday,3747,415.39,471.8
2025-08-20,August,2,Wednesday,3332,376.78,467.0
2025-08-21,August,3,Thursday,3264,383.73,495.4
2025-08-22,August,4,Friday,2761,316.36,476.8
2025-08-23,August,5,Saturday,2101,255.17,490.8
2025-08-24,August,6,Sunday,1478,171.22,461.6
2025-08-25,August,0,Monday,3685,414.98,478.2
2025-08-26,August,1,Tuesday,3348,402.07,486.6
2025-08-27,August,2,Wednesday,3290,376.5,472.4
2025-08-28,August,3,Thursday,3187,369.88,481.6
2025-08-29,August,4,Friday,2704,300.79,459.4
2025-08-30,August,5,Saturday,2223,257.64,485.6
2025-08-31,August,6,Sunday,1594,184.52,469.2
2025-09-01,September,0,Monday,4474,501.88,466.0
2025-09-02,September,1,Tuesday,4233,486.13,482.2
2025-09-03,September,2,Wednesday,3876,458.39,484.2
2025-09-04,September,3,Thursday,3727,439.67,502.4
2025-09-05,September,4,Friday,3570,413.99,466.6
2025-09-06,September,5,Saturday,2675,311.23,485.6
2025-09-07,September,6,Sunday,2023,238.7,484.4
2025-09-08,September,0,Monday,4399,521.24,500.2
2025-09-09,September,1,Tuesday,4530,484.63,449.4
2025-09-10,September,2,Wednesday,3851,434.31,470.2
2025-09-11,September,3,Thursday,4055,460.71,471.8
2025-09-12,September,4,Friday,3572,403.39,487.4
2025-09-13,September,5,Saturday,2624,302.86,482.8
2025-09-14,September,6,Sunday,1832,216.72,497.0
2025-09-15,September,0,Monday,4577,510.83,457.4
2025-09-16,September,1,Tuesday,4342,512.46,492.2
2025-09-17,September,2,Wednesday,4075,482.86,488.0
2025-09-18,September,3,Thursday,3630,419.67,473.8
2025-09-19,September,4,Friday,3405,395.28,476.0
2025-09-20,September,5,Saturday,2622,326.64,501.8
2025-09-21,September,6,Sunday,1843,201.39,471.4
2025-09-22,September,0,Monday,4181,481.51,468.6
2025-09-23,September,1,Tuesday,4198,467.92,451.2
2025-09-24,September,2,Wednesday,3866,425.05,466.6
2025-09-25,September,3,Thursday,3648,433.93,499.8
2025-09-26,September,4,Friday,3238,364.53,469.2
2025-09-27,September,5,Saturday,2551,295.18,479.0
2025-09-28,September,6,Sunday,1880,208.39,465.8
2025-09-29,September,0,Monday,4840,588.9,490.8
2025-09-30,September,1,Tuesday,4604,527.81,495.6
2025-10-01,October,2,Wednesday,3824,432.03,461.2
2025-10-02,October,3,Thursday,4000,472.1,488.0
2025-10-03,October,4,Friday,3581,428.85,490.4
2025-10-04,October,5,Saturday,2957,341.39,473.4
2025-10-05,October,6,Sunday,1979,226.18,467.8
2025-10-06,October,0,Monday,4918,542.97,463.0
2025-10-07,October,1,Tuesday,4574,522.25,477.6
2025-10-08,October,2,Wednesday,3829,449.17,473.4
2025-10-09,October,3,Thursday,3935,466.22,489.8
2025-10-10,October,4,Friday,3558,391.97,462.4
2025-10-11,October,5,Saturday,2722,317.52,480.4
2025-10-12,October,6,Sunday,2066,233.84,465.2
2025-10-13,October,0,Monday,4695,544.19,486.8
2025-10-14,October,1,Tuesday,4467,530.72,492.0
2025-10-15,October,2,Wednesday,4253,489.41,463.8
2025-10-16,October,3,Thursday,3961,434.6,463.2
2025-10-17,October,4,Friday,3767,437.78,485.0
2025-10-18,October,5,Saturday,2513,290.68,474.2
2025-10-19,October,6,Sunday,2010,233.98,481.4
2025-10-20,October,0,Monday,4828,573.48,484.0
2025-10-21,October,1,Tuesday,4489,495.68,461.8
2025-10-22,October,2,Wednesday,4189,494.06,498.0
2025-10-23,October,3,Thursday,4151,492.86,486.2
2025-10-24,October,4,Friday,3695,423.22,485.0
2025-10-25,October,5,Saturday,2799,339.59,497.8
2025-10-26,October,6,Sunday,1899,223.76,484.0
2025-10-27,October,0,Monday,4747,534.74,464.6
2025-10-28,October,1,Tuesday,4824,572.12,480.2
2025-10-29,October,2,Wednesday,4030,484.47,492.6
2025-10-30,October,3,Thursday,3866,447.91,481.6
2025-10-31,October,4,Friday,3841,450.53,483.4
2025-11-01,November,5,Saturday,2822,344.9,511.0
2025-11-02,November,6,Sunday,1889,223.17,487.8
2025-11-03,November,0,Monday,4326,502.8,488.0
2025-11-04,November,1,Tuesday,4874,579.92,489.4
2025-11-05,November,2,Wednesday,4321,489.75,472.8
2025-11-06,November,3,Thursday,3833,442.13,476.8
2025-11-07,November,4,Friday,3980,451.85,457.0
2025-11-08,November,5,Saturday,2803,330.86,478.0
2025-11-09,November,6,Sunday,1986,225.69,461.2
2025-11-10,November,0,Monday,5023,595.94,492.2
2025-11-11,November,1,Tuesday,4826,550.31,489.2
2025-11-12,November,2,Wednesday,4211,494.26,488.6
2025-11-13,November,3,Thursday,4195,462.96,472.6
2025-11-14,November,4,Friday,3692,421.61,490.4
2025-11-15,November,5,Saturday,2801,338.55,498.2
2025-11-16,November,6,Sunday,2203,253.55,476.2
2025-11-17,November,0,Monday,5241,579.65,470.0
2025-11-18,November,1,Tuesday,4640,535.28,490.0
2025-11-19,November,2,Wednesday,4333,492.88,465.6
2025-11-20,November,3,Thursday,3858,446.75,480.8
2025-11-21,November,4,Friday,3426,380.34,457.4
2025-11-22,November,5,Saturday,2960,343.73,480.4
2025-11-23,November,6,Sunday,2194,254.04,480.4
2025-11-24,November,0,Monday,4731,541.43,481.4
2025-11-25,November,1,Tuesday,4634,529.52,482.6
2025-11-26,November,2,Wednesday,4062,475.94,479.2
2025-11-27,November,3,Thursday,3803,445.11,482.8
2025-11-28,November,4,Friday,3721,403.25,457.0
2025-11-29,November,5,Saturday,2882,321.6,480.0
2025-11-30,November,6,Sunday,2139,246.99,484.4
2025-12-01,December,0,Monday,5385,596.97,463.0
2025-12-02,December,1,Tuesday,4959,569.64,469.2
2025-12-03,December,2,Wednesday,4941,575.12,492.4
2025-12-04,December,3,Thursday,4398,506.51,488.8
2025-12-05,December,4,Friday,3768,438.55,474.4
2025-12-06,December,5,Saturday,3156,361.66,476.6
2025-12-07,December,6,Sunday,2390,276.94,470.0
2025-12-08,December,0,Monday,5428,636.92,492.2
2025-12-09,December,1,Tuesday,5450,624.03,486.0
2025-12-10,December,2,Wednesday,4926,560.42,467.2
2025-12-11,December,3,Thursday,4283,511.85,485.0
2025-12-12,December,4,Friday,3995,460.56,482.0
2025-12-13,December,5,Saturday,2939,347.48,468.0
2025-12-14,December,6,Sunday,2327,270.53,499.2
2025-12-15,December,0,Monday,5394,608.73,479.8
2025-12-16,December,1,Tuesday,4908,564.98,482.4
2025-12-17,December,2,Wednesday,5218,601.28,473.4
2025-12-18,December,3,Thursday,4162,482.46,478.2
2025-12-19,December,4,Friday,4432,492.66,454.6
2025-12-20,December,5,Saturday,3228,383.62,494.2
2025-12-21,December,6,Sunday,2313,281.1,501.0
2025-12-22,December,0,Monday,5306,630.29,499.2
2025-12-23,December,1,Tuesday,5151,591.86,476.0
2025-12-24,December,2,Wednesday,4700,552.82,483.2
2025-12-25,December,3,Thursday,4188,486.66,477.4
2025-12-26,December,4,Friday,3916,468.27,494.8
2025-12-27,December,5,Saturday,3125,367.95,488.0
2025-12-28,December,6,Sunday,2262,246.8,456.6
2025-12-29,December,0,Monday,5071,574.7,473.8
2025-12-30,December,1,Tuesday,5047,572.51,479.0
2025-12-31,December,2,Wednesday,4811,538.23,461.0
