date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht,volume_30_days_moving_average,workload_hours_30_days_moving_average,aht_30_days_moving_average
2024-12-19,December,3,Thursday,4362,501.58,478.2,3937.9,451.52,476.57
2024-12-20,December,4,Friday,3865,442.04,469.8,3925.83,450.15,476.57
2024-12-21,December,5,Saturday,2859,327.12,477.4,3882.0,444.47,475.92
2024-12-22,December,6,Sunday,1991,233.94,483.2,3833.07,438.51,475.89
2024-12-23,December,0,Monday,4933,565.01,473.2,3907.17,446.8,475.5
2024-12-24,December,1,Tuesday,4749,549.55,475.0,3999.27,457.43,475.05
2024-12-25,December,2,Wednesday,4324,515.73,482.4,3975.57,454.86,475.03
2024-12-26,December,3,Thursday,4254,492.86,475.0,3962.83,453.65,475.19
2024-12-27,December,4,Friday,3821,438.13,468.6,3946.57,451.96,474.9
2024-12-28,December,5,Saturday,3120,359.75,480.2,3922.7,449.11,475.07
2024-12-29,December,6,Sunday,1963,231.4,482.0,3872.7,443.14,475.01
2024-12-30,December,0,Monday,5103,607.46,490.0,3951.73,452.96,475.6
2024-12-31,December,1,Tuesday,5095,592.91,476.2,4046.33,464.2,475.43
2025-01-01,January,2,Wednesday,3749,435.51,477.8,4005.37,459.88,475.5
2025-01-02,January,3,Thursday,3399,396.98,497.0,3951.23,454.58,476.59
2025-01-03,January,4,Friday,2947,337.35,465.8,3895.8,448.48,476.61
2025-01-04,January,5,Saturday,2359,274.27,472.8,3830.67,440.56,476.05
2025-01-05,January,6,Sunday,1707,191.1,469.4,3753.83,431.84,476.3
2025-01-06,January,0,Monday,4140,490.69,494.0,3786.97,436.32,477.01
2025-01-07,January,1,Tuesday,4110,460.04,459.4,3855.87,443.72,476.24
2025-01-08,January,2,Wednesday,3630,407.11,467.6,3804.53,438.2,476.18
2025-01-09,January,3,Thursday,3374,392.62,478.8,3749.63,432.22,476.0
2025-01-10,January,4,Friday,3089,368.14,488.6,3694.0,426.19,475.98
2025-01-11,January,5,Saturday,2421,287.37,484.0,3632.43,419.93,476.89
2025-01-12,January,6,Sunday,1723,209.09,493.2,3569.0,412.99,477.66
2025-01-13,January,0,Monday,4113,480.06,484.8,3607.07,417.35,477.97
2025-01-14,January,1,Tuesday,4085,463.55,480.2,3668.53,424.35,478.29
2025-01-15,January,2,Wednesday,3766,435.54,481.6,3633.9,420.18,478.18
2025-01-16,January,3,Thursday,3261,372.48,478.4,3566.23,412.58,478.28
2025-01-17,January,4,Friday,3315,385.34,484.8,3520.9,408.16,478.98
2025-01-18,January,5,Saturday,2293,260.36,468.8,3451.93,400.12,478.67
2025-01-19,January,6,Sunday,1657,187.09,460.4,3378.33,391.62,478.35
2025-01-20,January,0,Monday,3954,501.22,507.2,3414.83,397.42,479.35
2025-01-21,January,1,Tuesday,3945,446.1,482.8,3479.97,404.49,479.33
2025-01-22,January,2,Wednesday,3581,409.4,483.6,3434.9,399.31,479.68
2025-01-23,January,3,Thursday,3486,395.53,476.0,3392.8,394.17,479.71
2025-01-24,January,4,Friday,3099,358.69,487.4,3351.97,388.94,479.88
2025-01-25,January,5,Saturday,2283,258.72,482.2,3286.27,381.13,480.12
2025-01-26,January,6,Sunday,1880,224.48,489.4,3221.57,374.01,480.81
2025-01-27,January,0,Monday,4240,469.95,468.6,3258.9,377.68,480.43
2025-01-28,January,1,Tuesday,3982,458.23,483.6,3326.2,385.25,480.48
2025-01-29,January,2,Wednesday,3561,423.08,480.6,3274.8,379.1,480.17
2025-01-30,January,3,Thursday,3577,406.37,477.2,3224.2,372.88,480.2
2025-01-31,January,4,Friday,2955,349.46,484.8,3197.73,370.01,480.43
2025-02-01,February,5,Saturday,2454,275.52,486.2,3166.23,365.96,480.07
2025-02-02,February,6,Sunday,1804,209.8,491.6,3128.13,361.71,480.93
2025-02-03,February,0,Monday,3999,459.37,481.6,3182.8,367.88,481.23
2025-02-04,February,1,Tuesday,3645,415.91,484.8,3247.4,375.38,481.74
2025-02-05,February,2,Wednesday,3522,403.57,463.6,3226.8,372.47,480.73
2025-02-06,February,3,Thursday,3167,370.39,474.0,3195.37,369.48,481.21
2025-02-07,February,4,Friday,2803,334.96,501.0,3167.8,367.08,482.33
2025-02-08,February,5,Saturday,2381,274.23,485.0,3134.7,363.13,482.53
2025-02-09,February,6,Sunday,1796,197.02,468.2,3091.6,357.43,481.85
2025-02-10,February,0,Monday,4169,472.69,465.4,3149.87,363.61,481.23
2025-02-11,February,1,Tuesday,3997,462.16,479.2,3225.67,372.04,480.77
2025-02-12,February,2,Wednesday,3390,390.76,481.4,3201.57,369.07,480.65
2025-02-13,February,3,Thursday,3458,397.57,473.2,3180.67,366.87,480.42
2025-02-14,February,4,Friday,2945,338.32,480.6,3153.3,363.63,480.39
2025-02-15,February,5,Saturday,2375,277.64,485.4,3123.77,360.46,480.62
2025-02-16,February,6,Sunday,1739,196.28,470.8,3071.23,354.16,480.15
2025-02-17,February,0,Monday,3897,452.07,473.8,3124.7,360.55,480.32
2025-02-18,February,1,Tuesday,4027,444.78,467.8,3203.7,369.14,480.57
2025-02-19,February,2,Wednesday,3667,423.07,478.4,3194.13,366.54,479.61
2025-02-20,February,3,Thursday,3223,378.07,481.8,3170.07,364.27,479.57
2025-02-21,February,4,Friday,2972,336.16,457.8,3149.77,361.83,478.71
2025-02-22,February,5,Saturday,2456,282.11,475.2,3115.43,358.05,478.69
2025-02-23,February,6,Sunday,1659,192.63,470.4,3067.43,352.51,478.12
2025-02-24,February,0,Monday,3894,447.83,477.6,3121.13,358.82,477.97
2025-02-25,February,1,Tuesday,4060,464.67,469.2,3193.8,366.82,477.29
2025-02-26,February,2,Wednesday,3524,400.4,471.8,3169.93,364.5,477.4
2025-02-27,February,3,Thursday,3199,381.86,486.4,3143.83,361.96,477.49
2025-02-28,February,4,Friday,3232,367.79,478.8,3132.87,360.12,477.43
2025-03-01,March,5,Saturday,2503,288.77,487.8,3097.07,356.2,477.79
2025-03-02,March,6,Sunday,1774,210.92,477.4,3057.7,351.58,477.54
2025-03-03,March,0,Monday,4205,459.06,465.2,3116.07,357.7,476.84
2025-03-04,March,1,Tuesday,4004,467.55,487.6,3189.4,366.29,476.71
2025-03-05,March,2,Wednesday,3495,412.03,499.0,3172.6,364.71,477.29
2025-03-06,March,3,Thursday,3491,392.58,490.0,3167.47,363.93,477.46
2025-03-07,March,4,Friday,3057,355.96,469.8,3151.97,362.34,477.67
2025-03-08,March,5,Saturday,2461,285.01,470.8,3128.43,359.5,477.56
2025-03-09,March,6,Sunday,1613,185.2,481.8,3088.77,354.51,476.92
2025-03-10,March,0,Monday,4154,473.96,481.6,3147.87,361.16,476.81
2025-03-11,March,1,Tuesday,4096,472.81,481.8,3224.53,370.36,477.26
2025-03-12,March,2,Wednesday,3507,399.86,465.2,3202.47,367.93,477.25
2025-03-13,March,3,Thursday,3480,397.03,462.4,3185.23,365.76,476.69
2025-03-14,March,4,Friday,3207,360.63,473.2,3179.13,364.75,476.42
2025-03-15,March,5,Saturday,2413,275.76,466.8,3144.3,360.69,476.21
2025-03-16,March,6,Sunday,1798,194.5,457.6,3106.07,355.9,475.44
2025-03-17,March,0,Monday,4327,500.72,472.0,3171.13,363.34,474.99
2025-03-18,March,1,Tuesday,3989,441.55,466.0,3246.13,371.51,474.83
2025-03-19,March,2,Wednesday,3640,425.82,480.2,3237.57,370.64,475.05
2025-03-20,March,3,Thursday,3447,389.31,468.4,3218.23,368.79,475.07
2025-03-21,March,4,Friday,3227,359.33,456.4,3203.57,366.66,474.33
2025-03-22,March,5,Saturday,2255,258.85,464.4,3171.3,362.69,473.75
2025-03-23,March,6,Sunday,1719,196.54,468.6,3129.53,358.03,474.11
2025-03-24,March,0,Monday,4489,531.33,490.4,3197.3,366.34,474.62
2025-03-25,March,1,Tuesday,3817,435.62,473.4,3269.23,374.44,474.72
2025-03-26,March,2,Wednesday,3510,382.63,473.6,3256.43,372.27,474.59
2025-03-27,March,3,Thursday,3470,407.81,487.8,3236.77,370.37,475.21
2025-03-28,March,4,Friday,3288,360.51,469.8,3228.9,369.04,475.14
2025-03-29,March,5,Saturday,2432,286.4,478.2,3203.33,365.86,474.87
2025-03-30,March,6,Sunday,1678,194.61,489.4,3151.53,360.09,475.22
2025-03-31,March,0,Monday,4001,459.95,467.4,3201.47,365.79,474.54
2025-04-01,April,1,Tuesday,4216,488.06,502.2,3282.87,375.03,475.37
2025-04-02,April,2,Wednesday,4039,462.35,468.6,3277.33,375.14,475.48
2025-04-03,April,3,Thursday,3898,449.85,465.4,3273.8,374.55,474.74
2025-04-04,April,4,Friday,3517,400.11,486.8,3274.53,374.16,474.33
2025-04-05,April,5,Saturday,2666,326.46,494.8,3247.03,371.95,474.49
2025-04-06,April,6,Sunday,2022,238.08,481.6,3212.53,368.02,474.89
2025-04-07,April,0,Monday,4661,547.62,486.2,3285.87,376.78,475.4
2025-04-08,April,1,Tuesday,4264,499.27,474.4,3374.23,387.24,475.15
2025-04-09,April,2,Wednesday,4092,481.32,489.0,3372.17,387.49,475.4
2025-04-10,April,3,Thursday,3734,456.33,499.8,3360.1,386.94,476.0
2025-04-11,April,4,Friday,3226,370.7,475.8,3350.73,385.97,476.35
2025-04-12,April,5,Saturday,2659,307.43,488.8,3323.37,382.98,477.23
2025-04-13,April,6,Sunday,1891,211.87,476.2,3279.5,378.02,477.33
2025-04-14,April,0,Monday,4444,497.7,465.0,3347.2,385.42,477.27
2025-04-15,April,1,Tuesday,4567,516.5,480.2,3439.5,396.15,478.03
2025-04-16,April,2,Wednesday,3941,460.96,492.2,3426.63,394.83,478.7
2025-04-17,April,3,Thursday,3412,404.95,488.2,3407.4,393.61,479.44
2025-04-18,April,4,Friday,3317,403.35,487.2,3396.63,392.86,479.67
2025-04-19,April,5,Saturday,2642,299.14,461.2,3369.8,389.85,479.43
2025-04-20,April,6,Sunday,1850,207.51,458.4,3323.9,384.79,479.5
2025-04-21,April,0,Monday,4388,502.96,487.8,3395.0,392.93,480.28
2025-04-22,April,1,Tuesday,4176,513.86,493.8,3476.9,403.51,481.12
2025-04-23,April,2,Wednesday,3547,413.66,469.0,3445.5,399.59,480.41
2025-04-24,April,3,Thursday,3479,415.95,496.0,3434.23,398.93,481.16
2025-04-25,April,4,Friday,3339,409.08,512.6,3428.53,399.81,482.46
2025-04-26,April,5,Saturday,2682,313.39,499.0,3402.27,396.66,482.83
2025-04-27,April,6,Sunday,1907,221.28,483.0,3356.23,392.02,483.27
2025-04-28,April,0,Monday,4553,529.83,492.0,3426.93,400.14,483.73
2025-04-29,April,1,Tuesday,4387,487.59,468.2,3517.23,409.9,483.03
2025-04-30,April,2,Wednesday,4013,483.07,492.6,3517.63,410.67,483.87
2025-05-01,May,3,Thursday,3879,437.55,473.8,3506.4,408.99,482.92
2025-05-02,May,4,Friday,3487,399.87,477.4,3488.0,406.91,483.21
2025-05-03,May,5,Saturday,2773,320.63,477.6,3450.5,402.6,483.62
2025-05-04,May,6,Sunday,1934,215.31,471.0,3397.73,396.44,483.09
2025-05-05,May,0,Monday,4536,531.83,488.2,3460.07,403.29,482.87
2025-05-06,May,1,Tuesday,4638,544.35,475.0,3547.27,413.5,482.65
2025-05-07,May,2,Wednesday,4221,474.46,476.6,3532.6,411.06,482.33
2025-05-08,May,3,Thursday,3925,457.29,487.8,3521.3,409.66,482.78
2025-05-09,May,4,Friday,3629,417.2,470.6,3505.87,407.52,482.17
2025-05-10,May,5,Saturday,2881,339.33,481.8,3477.43,403.62,481.57
2025-05-11,May,6,Sunday,2073,232.76,482.2,3439.0,399.02,481.78
2025-05-12,May,0,Monday,4627,531.34,486.0,3504.6,406.49,481.69
2025-05-13,May,1,Tuesday,4330,495.21,469.0,3585.9,415.93,481.45
2025-05-14,May,2,Wednesday,4137,488.26,481.6,3575.67,415.62,482.0
2025-05-15,May,3,Thursday,3911,438.16,469.6,3553.8,413.0,481.65
2025-05-16,May,4,Friday,3671,410.68,477.4,3544.8,411.33,481.15
2025-05-17,May,5,Saturday,2817,323.85,481.4,3524.97,408.62,480.93
2025-05-18,May,6,Sunday,1820,207.35,467.8,3475.07,402.09,480.28
2025-05-19,May,0,Monday,5008,567.93,490.6,3553.93,411.05,481.26
2025-05-20,May,1,Tuesday,4616,527.07,490.6,3646.13,421.7,482.33
2025-05-21,May,2,Wednesday,4110,484.22,489.2,3636.87,421.08,482.38
2025-05-22,May,3,Thursday,4026,447.07,469.8,3631.87,418.85,481.58
2025-05-23,May,4,Friday,3458,396.82,469.4,3628.9,418.29,481.59
2025-05-24,May,5,Saturday,2724,325.81,488.4,3603.73,415.29,481.34
2025-05-25,May,6,Sunday,1921,223.35,482.0,3556.47,409.1,480.32
2025-05-26,May,0,Monday,4593,536.58,468.6,3620.17,416.54,479.31
2025-05-27,May,1,Tuesday,4239,475.16,474.8,3697.9,425.0,479.03
2025-05-28,May,2,Wednesday,4079,484.88,501.4,3682.1,423.5,479.35
2025-05-29,May,3,Thursday,3896,454.07,477.8,3665.73,422.38,479.67
2025-05-30,May,4,Friday,3688,418.95,461.0,3654.9,420.24,478.61
2025-05-31,May,5,Saturday,2811,330.64,479.8,3619.3,416.68,478.81
2025-06-01,June,6,Sunday,1835,214.63,483.8,3564.23,410.51,479.03
2025-06-02,June,0,Monday,4724,563.45,480.2,3629.27,418.6,479.11
2025-06-03,June,1,Tuesday,4188,498.17,485.4,3704.4,428.03,479.59
2025-06-04,June,2,Wednesday,3793,414.36,460.4,3679.63,424.11,478.67
2025-06-05,June,3,Thursday,3606,433.68,486.8,3645.23,420.42,479.06
2025-06-06,June,4,Friday,3441,411.85,494.0,3619.23,418.34,479.64
2025-06-07,June,5,Saturday,2746,317.69,470.2,3579.93,413.68,479.05
2025-06-08,June,6,Sunday,1994,231.24,474.6,3525.43,407.49,479.19
2025-06-09,June,0,Monday,4689,542.77,488.0,3585.7,414.27,479.39
2025-06-10,June,1,Tuesday,4587,531.4,484.8,3669.5,424.22,479.48
2025-06-11,June,2,Wednesday,4244,490.76,481.0,3656.73,422.87,479.31
2025-06-12,June,3,Thursday,3820,433.41,470.2,3639.73,420.81,479.35
2025-06-13,June,4,Friday,3272,376.06,474.2,3610.9,417.07,479.11
2025-06-14,June,5,Saturday,2733,318.42,484.8,3571.63,413.08,479.61
2025-06-15,June,6,Sunday,1982,229.66,489.2,3515.33,407.04,480.01
2025-06-16,June,0,Monday,4521,531.73,494.6,3572.13,413.97,480.45
2025-06-17,June,1,Tuesday,4234,496.4,490.4,3652.6,423.61,481.2
2025-06-18,June,2,Wednesday,3992,452.77,484.6,3618.73,419.77,481.0
2025-06-19,June,3,Thursday,3523,406.6,477.8,3582.3,415.75,480.57
2025-06-20,June,4,Friday,3479,404.58,481.6,3561.27,413.1,480.32
2025-06-21,June,5,Saturday,2633,302.17,473.8,3514.83,408.27,480.45
2025-06-22,June,6,Sunday,1878,218.38,471.0,3462.17,402.32,480.51
2025-06-23,June,0,Monday,4728,550.83,477.4,3528.97,409.82,480.14
2025-06-24,June,1,Tuesday,4820,532.81,457.2,3625.6,420.14,479.31
2025-06-25,June,2,Wednesday,4199,503.47,498.8,3612.47,419.03,480.32
2025-06-26,June,3,Thursday,3925,438.08,470.8,3602.0,417.8,480.19
2025-06-27,June,4,Friday,3433,399.0,490.2,3580.47,414.93,479.81
2025-06-28,June,5,Saturday,2769,335.23,493.0,3542.9,410.97,480.32
2025-06-29,June,6,Sunday,2013,232.0,484.8,3487.07,404.74,481.11
2025-06-30,June,0,Monday,5017,583.94,491.2,3560.6,413.18,481.49
2025-07-01,July,1,Tuesday,3732,406.99,455.6,3623.83,419.6,480.55
2025-07-02,July,2,Wednesday,3350,376.52,477.2,3578.03,413.37,480.45
2025-07-03,July,3,Thursday,3101,360.0,484.6,3541.8,408.76,480.43
2025-07-04,July,4,Friday,3030,357.57,484.8,3516.37,406.87,481.24
2025-07-05,July,5,Saturday,2196,250.12,480.0,3469.37,400.75,481.01
2025-07-06,July,6,Sunday,1653,191.99,480.4,3409.77,393.42,480.56
2025-07-07,July,0,Monday,3963,453.49,474.6,3450.33,397.95,480.71
2025-07-08,July,1,Tuesday,3584,423.15,491.6,3503.33,404.34,481.27
2025-07-09,July,2,Wednesday,3341,367.0,455.6,3458.4,398.48,480.19
2025-07-10,July,3,Thursday,3103,356.34,480.4,3408.93,392.65,480.05
2025-07-11,July,4,Friday,2735,307.36,477.4,3358.63,386.54,479.93
2025-07-12,July,5,Saturday,2227,250.4,458.4,3305.53,380.44,479.53
2025-07-13,July,6,Sunday,1517,171.0,464.6,3247.03,373.6,479.21
2025-07-14,July,0,Monday,4067,457.94,471.2,3291.5,378.25,478.76
2025-07-15,July,1,Tuesday,3466,390.1,470.8,3340.97,383.6,478.15
2025-07-16,July,2,Wednesday,3577,411.03,479.2,3309.5,379.58,477.63
2025-07-17,July,3,Thursday,3273,364.97,452.0,3277.47,375.19,476.35
2025-07-18,July,4,Friday,2903,334.38,482.8,3241.17,371.25,476.29
2025-07-19,July,5,Saturday,2375,270.5,475.8,3202.9,366.71,476.23
2025-07-20,July,6,Sunday,1600,186.89,496.4,3140.27,359.46,476.72
2025-07-21,July,0,Monday,4169,477.93,479.4,3191.47,365.31,476.91
2025-07-22,July,1,Tuesday,3795,450.05,486.4,3255.37,373.04,477.42
2025-07-23,July,2,Wednesday,3169,373.81,480.4,3203.4,367.14,477.52
2025-07-24,July,3,Thursday,3173,378.07,484.4,3148.5,361.98,478.43
2025-07-25,July,4,Friday,2838,335.45,485.6,3103.13,356.38,477.99
2025-07-26,July,5,Saturday,2194,254.33,465.4,3045.43,350.25,477.81
2025-07-27,July,6,Sunday,1564,184.37,489.4,2983.13,343.1,477.78
2025-07-28,July,0,Monday,3605,415.4,475.4,3011.0,345.77,477.19
2025-07-29,July,1,Tuesday,3510,421.18,494.0,3060.9,352.08,477.5
2025-07-30,July,2,Wednesday,2964,342.44,473.4,2992.47,344.03,476.91
2025-07-31,July,3,Thursday,3307,363.9,466.2,2978.3,342.59,477.26
2025-08-01,August,4,Friday,2835,323.87,477.0,2961.13,340.83,477.25
2025-08-02,August,5,Saturday,2432,285.2,478.0,2938.83,338.34,477.03
2025-08-03,August,6,Sunday,1517,176.69,490.2,2888.4,332.31,477.21
2025-08-04,August,0,Monday,3746,441.77,492.2,2940.07,338.7,477.62
2025-08-05,August,1,Tuesday,3574,428.97,496.4,3004.1,346.6,478.15
2025-08-06,August,2,Wednesday,3547,421.63,480.8,2990.23,345.54,478.36
2025-08-07,August,3,Thursday,3134,352.96,470.8,2975.23,343.2,477.67
2025-08-08,August,4,Friday,2918,341.26,477.4,2961.13,342.34,478.39
2025-08-09,August,5,Saturday,2207,260.12,479.0,2931.27,339.13,478.35
2025-08-10,August,6,Sunday,1586,181.66,465.2,2892.97,334.94,477.94
2025-08-11,August,0,Monday,3925,461.83,480.2,2949.57,341.99,478.67
2025-08-12,August,1,Tuesday,3171,365.92,480.2,3004.7,348.49,479.19
2025-08-13,August,2,Wednesday,3472,387.63,466.2,2984.87,346.14,479.02
2025-08-14,August,3,Thursday,3275,383.21,501.6,2978.5,345.91,480.05
2025-08-15,August,4,Friday,2753,331.52,480.0,2951.03,343.26,480.07
2025-08-16,August,5,Saturday,2168,241.36,466.8,2914.2,339.14,480.57
2025-08-17,August,6,Sunday,1481,173.38,475.4,2866.8,333.78,480.32
2025-08-18,August,0,Monday,3802,424.42,463.0,2914.37,338.91,479.89
2025-08-19,August,1,Tuesday,3747,415.39,471.8,2985.93,346.52,479.07
2025-08-20,August,2,Wednesday,3332,376.78,467.0,2958.03,343.15,478.66
2025-08-21,August,3,Thursday,3264,383.73,495.4,2940.33,340.94,478.96
2025-08-22,August,4,Friday,2761,316.36,476.8,2926.73,339.03,478.84
2025-08-23,August,5,Saturday,2101,255.17,490.8,2891.0,334.93,479.05
2025-08-24,August,6,Sunday,1478,171.22,461.6,2845.67,329.46,478.25
2025-08-25,August,0,Monday,3685,414.98,478.2,2895.37,334.81,478.68
2025-08-26,August,1,Tuesday,3348,402.07,486.6,2954.83,342.07,478.59
2025-08-27,August,2,Wednesday,3290,376.5,472.4,2944.33,340.77,478.49
2025-08-28,August,3,Thursday,3187,369.88,481.6,2933.57,339.06,478.07
2025-08-29,August,4,Friday,2704,300.79,459.4,2924.9,337.67,477.61
2025-08-30,August,5,Saturday,2223,257.64,485.6,2888.77,334.13,478.25
2025-08-31,August,6,Sunday,1594,184.52,469.2,2847.4,329.49,477.99
2025-09-01,September,0,Monday,4474,501.88,466.0,2915.47,336.71,477.59
2025-09-02,September,1,Tuesday,4233,486.13,482.2,3006.0,347.02,477.33
2025-09-03,September,2,Wednesday,3876,458.39,484.2,3010.33,347.58,477.06
2025-09-04,September,3,Thursday,3727,439.67,502.4,3015.43,347.93,477.26
2025-09-05,September,4,Friday,3570,413.99,466.6,3016.2,347.68,476.79
2025-09-06,September,5,Saturday,2675,311.23,485.6,3000.9,346.29,477.28
2025-09-07,September,6,Sunday,2023,238.7,484.4,2971.07,342.87,477.51
2025-09-08,September,0,Monday,4399,521.24,500.2,3044.13,351.57,478.22
2025-09-09,September,1,Tuesday,4530,484.63,449.4,3142.27,361.67,477.69
2025-09-10,September,2,Wednesday,3851,434.31,470.2,3139.8,360.75,477.36
2025-09-11,September,3,Thursday,4055,460.71,471.8,3169.27,363.91,477.08
2025-09-12,September,4,Friday,3572,403.39,487.4,3172.6,364.44,477.79
2025-09-13,September,5,Saturday,2624,302.86,482.8,3150.9,361.76,477.16
2025-09-14,September,6,Sunday,1832,216.72,497.0,3120.2,357.93,477.73
2025-09-15,September,0,Monday,4577,510.83,457.4,3200.5,366.92,477.41
2025-09-16,September,1,Tuesday,4342,512.46,492.2,3295.87,378.22,477.97
2025-09-17,September,2,Wednesday,4075,482.86,488.0,3304.97,380.17,478.81
2025-09-18,September,3,Thursday,3630,419.67,473.8,3301.07,380.31,478.87
2025-09-19,September,4,Friday,3405,395.28,476.0,3303.5,380.93,479.17
2025-09-20,September,5,Saturday,2622,326.64,501.8,3282.1,379.02,479.39
2025-09-21,September,6,Sunday,1843,201.39,471.4,3251.5,375.19,479.21
2025-09-22,September,0,Monday,4181,481.51,468.6,3320.83,382.74,478.47
2025-09-23,September,1,Tuesday,4198,467.92,451.2,3411.5,392.63,478.12
2025-09-24,September,2,Wednesday,3866,425.05,466.6,3417.53,392.96,477.73
2025-09-25,September,3,Thursday,3648,433.93,499.8,3427.53,394.02,478.17
2025-09-26,September,4,Friday,3238,364.53,469.2,3425.8,393.62,478.07
2025-09-27,September,5,Saturday,2551,295.18,479.0,3404.6,391.14,477.98
2025-09-28,September,6,Sunday,1880,208.39,465.8,3377.13,388.06,478.19
2025-09-29,September,0,Monday,4840,588.9,490.8,3464.37,399.1,478.37
2025-09-30,September,1,Tuesday,4604,527.81,495.6,3564.7,410.54,479.25
2025-10-01,October,2,Wednesday,3824,432.03,461.2,3543.03,408.21,479.09
2025-10-02,October,3,Thursday,4000,472.1,488.0,3535.27,407.74,479.28
2025-10-03,October,4,Friday,3581,428.85,490.4,3525.43,406.76,479.49
2025-10-04,October,5,Saturday,2957,341.39,473.4,3499.77,403.48,478.52
2025-10-05,October,6,Sunday,1979,226.18,467.8,3446.73,397.22,478.56
2025-10-06,October,0,Monday,4918,542.97,463.0,3521.5,404.95,477.81
2025-10-07,October,1,Tuesday,4574,522.25,477.6,3606.53,414.4,477.58
2025-10-08,October,2,Wednesday,3829,449.17,473.4,3587.53,412.0,476.69
2025-10-09,October,3,Thursday,3935,466.22,489.8,3567.7,411.38,478.03
2025-10-10,October,4,Friday,3558,391.97,462.4,3557.93,409.97,477.77
2025-10-11,October,5,Saturday,2722,317.52,480.4,3513.5,405.2,478.06
2025-10-12,October,6,Sunday,2066,233.84,465.2,3463.3,399.55,477.32
2025-10-13,October,0,Monday,4695,544.19,486.8,3532.33,407.59,477.45
2025-10-14,October,1,Tuesday,4467,530.72,492.0,3620.17,418.06,477.29
2025-10-15,October,2,Wednesday,4253,489.41,463.8,3609.37,417.34,477.5
2025-10-16,October,3,Thursday,3961,434.6,463.2,3596.67,414.75,476.53
2025-10-17,October,4,Friday,3767,437.78,485.0,3586.4,413.25,476.43
2025-10-18,October,5,Saturday,2513,290.68,474.2,3549.17,408.95,476.45
2025-10-19,October,6,Sunday,2010,233.98,481.4,3502.67,403.57,476.63
2025-10-20,October,0,Monday,4828,573.48,484.0,3576.2,411.8,476.03
2025-10-21,October,1,Tuesday,4489,495.68,461.8,3664.4,421.61,475.71
2025-10-22,October,2,Wednesday,4189,494.06,498.0,3664.67,422.03,476.69
2025-10-23,October,3,Thursday,4151,492.86,486.2,3663.1,422.86,477.86
2025-10-24,October,4,Friday,3695,423.22,485.0,3657.4,422.8,478.47
2025-10-25,October,5,Saturday,2799,339.59,497.8,3629.1,419.65,478.41
2025-10-26,October,6,Sunday,1899,223.76,484.0,3584.47,414.96,478.9
2025-10-27,October,0,Monday,4747,534.74,464.6,3657.67,422.94,478.42
2025-10-28,October,1,Tuesday,4824,572.12,480.2,3755.8,435.07,478.9
2025-10-29,October,2,Wednesday,4030,484.47,492.6,3728.8,431.59,478.96
2025-10-30,October,3,Thursday,3866,447.91,481.6,3704.2,428.92,478.49
2025-10-31,October,4,Friday,3841,450.53,483.4,3704.77,429.54,479.23
2025-11-01,November,5,Saturday,2822,344.9,511.0,3665.5,425.3,480.0
2025-11-02,November,6,Sunday,1889,223.17,487.8,3609.1,418.45,479.91
2025-11-03,November,0,Monday,4326,502.8,488.0,3654.73,423.83,480.4
2025-11-04,November,1,Tuesday,4874,579.92,489.4,3751.23,435.62,481.12
2025-11-05,November,2,Wednesday,4321,489.75,472.8,3731.33,433.84,481.45
2025-11-06,November,3,Thursday,3833,442.13,476.8,3706.63,431.17,481.42
2025-11-07,November,4,Friday,3980,451.85,457.0,3711.67,431.26,480.87
2025-11-08,November,5,Saturday,2803,330.86,478.0,3673.93,426.75,480.48
2025-11-09,November,6,Sunday,1986,225.69,461.2,3621.53,421.21,480.44
2025-11-10,November,0,Monday,5023,595.94,492.2,3698.23,430.49,480.83
2025-11-11,November,1,Tuesday,4826,550.31,489.2,3790.23,441.04,481.63
2025-11-12,November,2,Wednesday,4211,494.26,488.6,3774.1,439.37,481.69
2025-11-13,November,3,Thursday,4195,462.96,472.6,3765.03,437.11,481.05
2025-11-14,November,4,Friday,3692,421.61,490.4,3746.33,434.85,481.93
2025-11-15,November,5,Saturday,2801,338.55,498.2,3707.67,431.65,483.1
2025-11-16,November,6,Sunday,2203,253.55,476.2,3655.53,425.51,482.81
2025-11-17,November,0,Monday,5241,579.65,470.0,3746.47,435.14,482.67
2025-11-18,November,1,Tuesday,4640,535.28,490.0,3834.13,445.19,482.95
2025-11-19,November,2,Wednesday,4333,492.88,465.6,3817.63,442.5,482.34
2025-11-20,November,3,Thursday,3858,446.75,480.8,3796.6,440.87,482.97
2025-11-21,November,4,Friday,3426,380.34,457.4,3771.17,437.08,481.62
2025-11-22,November,5,Saturday,2960,343.73,480.4,3731.47,432.11,481.43
2025-11-23,November,6,Sunday,2194,254.04,480.4,3681.43,426.47,481.27
2025-11-24,November,0,Monday,4731,541.43,481.4,3745.83,433.2,480.73
2025-11-25,November,1,Tuesday,4634,529.52,482.6,3837.0,443.39,480.68
2025-11-26,November,2,Wednesday,4062,475.94,479.2,3814.17,441.43,481.17
2025-11-27,November,3,Thursday,3803,445.11,482.8,3780.13,437.19,481.25
2025-11-28,November,4,Friday,3721,403.25,457.0,3769.83,434.49,480.07
2025-11-29,November,5,Saturday,2882,321.6,480.0,3737.03,430.28,480.01
2025-11-30,November,6,Sunday,2139,246.99,484.4,3680.3,423.49,480.05
2025-12-01,December,0,Monday,5385,596.97,463.0,3765.73,431.89,478.45
